startphrase,ending1,ending2,labels,valid
That movie was a marathon,That movie was very long.,That movie was very short.,0,1
That movie was a sprint,That movie was very long.,That movie was very short.,1,1
That game was a squeaker,That game was very close.,That game wasn't even close.,0,1
That game was a blowout,That game was very close.,That game wasn't even close.,1,1
That skirt is a curtain,That skirt is very long,That skirt is very short.,0,1
That skirt is a belt,That skirt is very long,That skirt is very short.,1,1
The woman's tongue is a chainsaw,Everything the woman says is very cutting.,Everything the woman says is kind.,0,1
The woman's tongue is a lollipop,Everything the woman says is very cutting.,Everything the woman says is kind.,1,1
The toddler is a jack in the box,The toddler has a lot of energy.,The toddler doesn't have much energy.,0,1
The toddler is a Sunday nap,The toddler has a lot of energy.,The toddler doesn't have much energy.,1,1
The man's outfit is as unique as boiled pork belly With spicy garlic dressing,The man's outfit is very unique.,The man's outfit is unoriginal.,0,1
The man's outfit is as unique as a peanut butter sandwich,The man's outfit is very unique.,The man's outfit is unoriginal.,1,1
"To his friend, his mind was like An encyclopedia on two feet",His mind was very remembering and knowledgeable,His mind was dead and empty.,0,1
"To his friend, his mind was like a nuclear wasteland.",His mind was very remembering and knowledgeable,His mind was dead and empty.,1,1
To him the lady's heart was like A freezing cold snowy day.,The lady's heart was cruel and unfeeling,The lady's heart was soft when you get past the hard shell.,0,1
To him the lady's heart was like A hard shell and a soft center.,The lady's heart was cruel and unfeeling,The lady's heart was soft when you get past the hard shell.,1,1
"When he smiled and showed his teeth, they were like Jimmy Carter's liver pills.",His teeth were in abundance,His teeth were unaligned and misshapen.,0,1
"When he smiled and showed his teeth, they were like A warped piano keyboard.",His teeth were in abundance,His teeth were unaligned and misshapen.,1,1
The tire was as round as a basketball,The tire was round,The tire was flat,0,1
The tire was as round as a pillow,The tire was round,The tire was flat,1,1
The store was as busy as a country road,The store was empty,The store was full of people,0,1
The store was as busy as a city sidewalk,The store was empty,The store was full of people,1,1
The cat was as white as winter snow,The cat was white,The cat was black,0,1
The cat was as white as charcoal,The cat was white,The cat was black,1,1
A saved as much as a beggar,A saved nothing,A saved a great deal,0,1
A saved as much as Jeff Bezos,A saved nothing,A saved a great deal,1,1
My blind date looked like a cow's behind,My blind date looked ugly,My blind date looked pretty,0,1
My blind date looked like a beauty queen,My blind date looked ugly,My blind date looked pretty,1,1
The portions were as big as a pimple,The portions were small,The portions were large,0,1
The portions were as big as the Great Northwest,The portions were small,The portions were large,1,1
This bargain's as affordable as peanuts,This bargain's affordable,This bargain's expensive,0,1
This bargain's as affordable as the moon,This bargain's affordable,This bargain's expensive,1,1
My kid's as well-behaved as an honor student,My kid's well behaved,My kid's poorly behaved,0,1
My kid's as well-behaved as a career criminal,My kid's well behaved,My kid's poorly behaved,1,1
My vision is as clear as glass,My vision is clear,My vision is obscured and not clear,0,1
My vision is as clear as stained glass,My vision is clear,My vision is obscured and not clear,1,1
Your uncle Larry is as creepy as a pervert,Larry is very creepy.,Larry is not creepy.,0,1
Your uncle Larry is as creepy as Betty White,Larry is very creepy.,Larry is not creepy.,1,1
That car was about as big of a bargain as a 10 dollar hooker.,The car was a great deal.,The car was overpriced.,0,1
That car was about as big of a bargain as a 200 dollar haircut.,The car was a great deal.,The car was overpriced.,1,1
This movie was as interesting as watching paint dry,the movie was not interesting.,the movie was captivating.,0,1
This movie was as interesting as the big bang itself,the movie was not interesting.,the movie was captivating.,1,1
The salesman has the trustworthiness of an anti-smoking study conducted by tobacco companies,The salesman was not trustworthy,The salesman was trustworthy,0,1
The salesman has the trustworthiness of Abraham Lincoln mixed with George Washington,The salesman was not trustworthy,The salesman was trustworthy,1,1
The sampoo had the cleaning strength of a Tide Pod mixed with a bottle of Oxiclean,The shampoo had a lot of cleaning strength,The shampoo didn't have much cleaning strength,0,1
"The sampoo had the cleaning strength of a muddy, polluted river",The shampoo had a lot of cleaning strength,The shampoo didn't have much cleaning strength,1,1
The drink was as sweet as the spill eaten by a colony of sugar ants,The drink was sweet,The drink wasn't sweet,0,1
The drink was as sweet as a clam fresh from the bottom of the sea,The drink was sweet,The drink wasn't sweet,1,1
He jumped like a kangaroo.,He jumped high.,He didn't jump at all.,0,1
He jumped like a hippo.,He jumped high.,He didn't jump at all.,1,1
He growled like a lion.,He had a loud growl.,He had a quiet growl.,0,1
He growled like a house cat.,He had a loud growl.,He had a quiet growl.,1,1
He was protective like a wasp.,He was very protective.,He wasn't protective at all.,0,1
He was protective like a lady bug.,He was very protective.,He wasn't protective at all.,1,1
That bargain was a nail in the foot,"That bargain was bad, nobody wants that",That bargain was a great deal,0,1
That bargain was like finding treasure,"That bargain was bad, nobody wants that",That bargain was a great deal,1,1
My relative is like the cool rich uncle,My relative is the nice guy everybody wants to be around,My relative is a pest nobody wants around,0,1
My relative is like a cockroach,My relative is the nice guy everybody wants to be around,My relative is a pest nobody wants around,1,1
We us electricity like Las Vegas,We use a lot of electricity,We do not use electricity,0,1
We us electricity like an Amish man,We use a lot of electricity,We do not use electricity,1,1
Her touch was like electricity,Her touch is exciting,Her touch feels sad,0,1
Her touch was like depression,Her touch is exciting,Her touch feels sad,1,1
The air was sweet as cotton candy,The air smelled good,The air smelled bad,0,1
The air was sweet as vomit,The air smelled good,The air smelled bad,1,1
My girl friend is as tactful as a sledge hammer,My girl friend has no tact,My girlfriend has a lot of tact,0,1
My girl friend is as tactful as a diplomat,My girl friend has no tact,My girlfriend has a lot of tact,1,1
The insects work together like the offensive line for the Green Bay Packers,They move as unit to accomplish the shared goal,They interfere with each other,0,1
The insects work together like two siblings fighting for their mother's attention,They move as unit to accomplish the shared goal,They interfere with each other,1,1
The goal was as near as Jupiter,The goal was quite far away,The goal was adjacent,0,1
The goal was as near as nextdoor neighbors,The goal was quite far away,The goal was adjacent,1,1
The girl is unknown as the bottom of the ocean,Not much is known about the girl,There are indicators about her but the outcome is far from certain.,0,1
The girl is unknown as the future of our climate,Not much is known about the girl,There are indicators about her but the outcome is far from certain.,1,1
baby walks is snail,baby walks fast,baby walks speed,0,1
baby walks is turtle,baby walks fast,baby walks speed,1,1
her word is thorn,her word is smooth,her word is soft,0,1
her word is needle,her word is smooth,her word is soft,1,1
snow is white carpet,snow is melted,snow is evoporate,0,1
snow is milk,snow is melted,snow is evoporate,1,1
Her face was a storm clould,She was scowling.,She was smiling.,0,1
Her face was a sun beam,She was scowling.,She was smiling.,1,1
The movie was as thrilling as a sermon,The movie was boring.,The movie was exciting.,0,1
The movie was as thrilling as a car chase,The movie was boring.,The movie was exciting.,1,1
Her hair was a rat's nest,Her hair was tangled.,Her hair was blonde.,0,1
Her hair was golden wheat,Her hair was tangled.,Her hair was blonde.,1,1
He is hungry as a bear,He is really hungry,He is not too hungry,0,1
He is hungry as a mouse,He is really hungry,He is not too hungry,1,1
He is as tall as a skyskraper,He is very tall,He is very short,0,1
He is as tall as a grain of rice,He is very tall,He is very short,1,1
The play was as dull as a spoon,The play was boring,The play was thrilling,0,1
The play was as dull as a knife,The play was boring,The play was thrilling,1,1
These streets Are open sewers,The streets are filthy,The streets are well taken care of,0,1
These streets Are Immaculate passages,The streets are filthy,The streets are well taken care of,1,1
The construction worker Is more of a bomber,The construction worker is destructive,The construction worker is careful,0,1
The construction worker Is earnest as a maiden,The construction worker is destructive,The construction worker is careful,1,1
That politician is Is no different than a rodent,The politician is corrupt,The politician is trustworthy,0,1
That politician is Much like a dove,The politician is corrupt,The politician is trustworthy,1,1
Love is not smaller Love is not smaller,Love is not smaller,Love is not smaller,0,1
Love is not smaller Love is not smaller,Love is not smaller,Love is not smaller,1,1
The inspector at the car lot was as thorough as Election officials,The inspector found everything,The inspector missed something,0,1
The inspector at the car lot was as thorough as A high school senior late for class,The inspector found everything,The inspector missed something,1,1
The neighbors house was as close as Your ring finger and your pinky on your left hand.,The houses were close together,There was a lot of space between the houses,0,1
The neighbors house was as close as Your left ring finger and your pinky toe,The houses were close together,There was a lot of space between the houses,1,1
The end of the movie was as unknown to the man as His unborn son's future career,The man had no idea how the movie would end,The movie was predictable,0,1
The end of the movie was as unknown to the man as His lunch for work tomorrow,The man had no idea how the movie would end,The movie was predictable,1,1
This mouthwash has the strength of Thor's hammer crushing his enemies,The mouthwash is really spicy and good at killing germs,The mouthwash doesn't work well at killing germs and isn't spicy,0,1
This mouthwash has the strength of a bug trying to kill a car,The mouthwash is really spicy and good at killing germs,The mouthwash doesn't work well at killing germs and isn't spicy,1,1
The bee sting pain rating was a dinosaur dying from getting its tail crushed,The bee sting was agonizing,The bee sting barely even hurt,0,1
The bee sting pain rating was trying to kill an elephant by throwing bread at its face,The bee sting was agonizing,The bee sting barely even hurt,1,1
The bedtime story had the fables to put an angry Sasquatch with insomnia to sleep,The bedtime story could put you to sleep easily,The bedtime story didn't help putting someone to sleep,0,1
The bedtime story had the fables to keep a crazy wasp awake for days,The bedtime story could put you to sleep easily,The bedtime story didn't help putting someone to sleep,1,1
The cicadas were as loud as a whisper,The cicadas were not loud,The cicadas were loud,0,1
The cicadas were as loud as a banshee,The cicadas were not loud,The cicadas were loud,1,1
The comet came as near as the dentures in your mouth,The comet came near,The comet did not come near,0,1
The comet came as near as Alpha Centauri,The comet came near,The comet did not come near,1,1
The formula was as well-known as the eleventh president of Zambia,The formula was not well-known,The formula was well-known,0,1
The formula was as well-known as which way is up,The formula was not well-known,The formula was well-known,1,1
The dress was as lovely as a summer walk,it was beautiful,it was ugly,0,1
The dress was as lovely as a winter storm,it was beautiful,it was ugly,1,1
The hospital was as clean as a school with no kids,it was neat,it was dirty,0,1
The hospital was as clean as a bus full of homeless people,it was neat,it was dirty,1,1
The seatbelt was as rusty as a ship that sat there for years,it was full of rust,it was like new,0,1
The seatbelt was as rusty as a new tool set,it was full of rust,it was like new,1,1
This car is as fast as a fox with its tail on fire.,The car is very fast,The car is very slow,0,1
This car is as fast as a clogged toilet drains.,The car is very fast,The car is very slow,1,1
The pepper is hot as my graphics card while crypto mining,The pepper is very hot,The pepper is mild,0,1
The pepper is hot as my feet on a winter morning,The pepper is very hot,The pepper is mild,1,1
My children have the attention span of a goldfish.,My children have a low attention span.,My children have a high attention span.,0,1
My children have the attention span of the Queens Guard,My children have a low attention span.,My children have a high attention span.,1,1
He has the warmth of a snowball,He is cold,He is warm,0,1
He has the warmth of a raging fire,He is cold,He is warm,1,1
He is as flexible as a snail,He is not agile,He is agile,0,1
He is as flexible as a monkey,He is not agile,He is agile,1,1
It is as funny as a wet noodle,It is not amusing,It is amusing,0,1
It is as funny as slipping on a banana peel,It is not amusing,It is amusing,1,1
This conversation flowed like A smooth cascade,The conversation went well,The conversation was heated,0,1
This conversation flowed like A vicious tide,The conversation went well,The conversation was heated,1,1
After being fixed the chair Is as a monolith again,The chair is as good as new or better,The chair is brittle,0,1
After being fixed the chair Has been reduced to a snowflake,The chair is as good as new or better,The chair is brittle,1,1
These shoes are a sponge,The shoes soak up a lot of water,The shoes are airtight as a plane,0,1
These shoes are like a plane,The shoes soak up a lot of water,The shoes are airtight as a plane,1,1
This conversation has the interest of watching wallpaper dry.,This conversation is boring,This conversation is really interesting and engaging,0,1
This conversation has the interest of a thousand hearts landing in my arms,This conversation is boring,This conversation is really interesting and engaging,1,1
Those flowers have the beauty of a million unicorns with rainbows in every direction,Those flowers are really gorgeous,Those flowers are really ugly,0,1
Those flowers have the beauty of a dying hyena,Those flowers are really gorgeous,Those flowers are really ugly,1,1
This drink has the flavor of a million sugar cubes stroking my brain,This drink tastes good,This drink tastes horrible,0,1
This drink has the flavor of a cheese grater cutting my tongue,This drink tastes good,This drink tastes horrible,1,1
That was about as cold as dry ice,"That was really, very cold",That was not at all cold,0,1
That was about as cold as a fireball,"That was really, very cold",That was not at all cold,1,1
That sounds as good as a blown speaker,That sounds aweful,That sounds great,0,1
That sounds as good as ice cream on a hot day,That sounds aweful,That sounds great,1,1
The crowd has as much energy as a 3 year old,The crowd is very energetic,The crowd does not have much energy at all,0,1
The crowd has as much energy as an old man,The crowd is very energetic,The crowd does not have much energy at all,1,1
The woman has the personality of a bottle of shaken Coca Cola,The woman has a very bold personality.,The woman has a very plain personality.,0,1
The woman has the personality of a glass of milk,The woman has a very bold personality.,The woman has a very plain personality.,1,1
The essay instructions are as straightforward as Apple's terms and conditions,The essay instructions are unclear.,The essay instructions are straightforward.,0,1
The essay instructions are as straightforward as a child's book,The essay instructions are unclear.,The essay instructions are straightforward.,1,1
The agreement between the friends is as formal as a merger agreement,The agreement between the friends is very formal.,The agreement between the friends is very informal.,0,1
The agreement between the friends is as formal as a scribbled out Post-it note,The agreement between the friends is very formal.,The agreement between the friends is very informal.,1,1
Conversation was as enthralling as Watching a boxing match,The conversation was very engrossing,Conversation was boring people to sleep,0,1
Conversation was as enthralling as Watching a PTA debate,The conversation was very engrossing,Conversation was boring people to sleep,1,1
The new flavored olive oil made her think of Being in Tuscany,The olive oil was very authentic,The olive oil seemed counterfeit,0,1
The new flavored olive oil made her think of Being in New Jersey,The olive oil was very authentic,The olive oil seemed counterfeit,1,1
Being late to the meeting made the woman feel like Being on stage performing,She felt like she was the center of attention,She felt like she was in trouble,0,1
Being late to the meeting made the woman feel like Being sent to the principal's office,She felt like she was the center of attention,She felt like she was in trouble,1,1
The concert was as loud as a gaudy t-shirt design.,The concert was very loud.,The concert was not very loud.,0,1
The concert was as loud as insulating foam.,The concert was very loud.,The concert was not very loud.,1,1
The pillow was as soft as a rich pacifist.,The pillow was very soft.,The pillow wasn't soft.,0,1
The pillow was as soft as a hardened soldier.,The pillow was very soft.,The pillow wasn't soft.,1,1
The rope was as long as The Lord of The Rings movie trilogy.,The rope was very long.,The rope wasn't very long.,0,1
The rope was as long as a youtube advertisement.,The rope was very long.,The rope wasn't very long.,1,1
That turkey has the texture of a tire,The turkey is very tough to eat and chew.,The turkey is easy to chew and eat.,0,1
That turkey has the texture of a butter,The turkey is very tough to eat and chew.,The turkey is easy to chew and eat.,1,1
The street has the friendliness of a rabid squirrel.,The street is very unfriendly.,The street is very friendly.,0,1
The street has the friendliness of Mister Rogers.,The street is very unfriendly.,The street is very friendly.,1,1
The baby has the balance of a trapeze artist.,The baby is very balanced.,The baby is very unbalanced.,0,1
The baby has the balance of a drunk.,The baby is very balanced.,The baby is very unbalanced.,1,1
My teeth have the integrity of carbon steel.,My teeth are very strong.,My teeth lack integrity.,0,1
My teeth have the integrity of used car dealer.,My teeth are very strong.,My teeth lack integrity.,1,1
The music was as soothing as A warm hug.,The music was greatly soothing.,The music was loud and disturbing.,0,1
The music was as soothing as A air raid siren.,The music was greatly soothing.,The music was loud and disturbing.,1,1
The book was as interesting as A solid white room.,The book is bland and boring.,The book is interesting.,0,1
The book was as interesting as A newly found treasure chest.,The book is bland and boring.,The book is interesting.,1,1
The shirt was as pretty as A plain blue tarp.,The shirt was not pretty at all.,The shirt was beautiful.,0,1
The shirt was as pretty as A field of blooming tulips.,The shirt was not pretty at all.,The shirt was beautiful.,1,1
This trip has been Worst than my dentist appointment,This trip has been terrible,The trip has been amazing,0,1
This trip has been Like snow on christmas,This trip has been terrible,The trip has been amazing,1,1
The display was as clear as crystal,The display was clear,The display was distorted,0,1
The display was as clear as shattered crystal,The display was clear,The display was distorted,1,1
The pie was as sweet as sugar,The pie was sweet,The pie was not sweet,0,1
The pie was as sweet as vinegar,The pie was sweet,The pie was not sweet,1,1
I'm as threatening as a monster,I'm threatening,I'm nonthreatening,0,1
I'm as threatening as a milkman,I'm threatening,I'm nonthreatening,1,1
The display was as clear as a cataract,The display was not clear,The display was clear,0,1
The display was as clear as crystal,The display was not clear,The display was clear,1,1
The tub finish looked like a bad case of acne,The tub finish looked  bad,The tub finish looked nice,0,1
The tub finish looked like polished glass,The tub finish looked  bad,The tub finish looked nice,1,1
The illusion was as good as a 12-pixel GIF,The illusion was bad,The illusion was good,0,1
The illusion was as good as a UHD TV,The illusion was bad,The illusion was good,1,1
The display had all the detail of The Birth of Venus,The display had a lot of detail,The display was not detailed,0,1
The display had all the detail of a child's crayon drawing,The display had a lot of detail,The display was not detailed,1,1
The computer was as high-tech as Laserdisc in 1978,The computer was high-tech,The computer was outdated,0,1
The computer was as high-tech as Laserdisc in 1998,The computer was high-tech,The computer was outdated,1,1
The new video game is as fun  as going to Disney World,The new video game is so much fun.,The new video game is highly worth avoiding.,0,1
The new video game is as fun  as digging ditches in the hot sun,The new video game is so much fun.,The new video game is highly worth avoiding.,1,1
The television show is as interesting as a cucumber,The television show is boring.,The television show is exciting.,0,1
The television show is as interesting as a lost treasure,The television show is boring.,The television show is exciting.,1,1
The new iPad is as good as a stick,The new iPad stinks.,The new iPad is worth every penny.,0,1
The new iPad is as good as gold,The new iPad stinks.,The new iPad is worth every penny.,1,1
Her head has the capacity of a thimble,she is not capable of much intelligence,"she is capable of deep, critical thinking",0,1
Her head has the capacity of a universe,she is not capable of much intelligence,"she is capable of deep, critical thinking",1,1
The jacket has the appeal of a swarm of bees,The jacket is unappealing.,The jacket is very appealing.,0,1
The jacket has the appeal of a cozy winter's night,The jacket is unappealing.,The jacket is very appealing.,1,1
The computer is as fast as a sick snail,The computer is slow.,The computer is fast.,0,1
The computer is as fast as a hungry cheetah,The computer is slow.,The computer is fast.,1,1
His head was as smooth as a pebble,His head was smooth,His head was lumpy,0,1
His head was as smooth as porridge,His head was smooth,His head was lumpy,1,1
The painting was as permanent as the wind,The painting was temporary,The painting was long lasting,0,1
The painting was as permanent as granite,The painting was temporary,The painting was long lasting,1,1
She had the grace of a ballerina,She was graceful,She was clumsy,0,1
She had the grace of a toad,She was graceful,She was clumsy,1,1
The hair color was as permanent as a passing thought,The hair color was not permanent,The hair color was permanent,0,1
The hair color was as permanent as a marble monument,The hair color was not permanent,The hair color was permanent,1,1
The rules were as complicated as one plus one is two,The rules were not complicated,The rules were complicated,0,1
The rules were as complicated as a Rubik cube,The rules were not complicated,The rules were complicated,1,1
Her head was as big as a beach ball,Her head was big,Her head was not big,0,1
Her head was as big as a hamster's,Her head was big,Her head was not big,1,1
Her boyfriend was a romantic as a John Keats poem.,Her boyfriend was sincere and romantic.,Her boyfriend was cynical and not romantic.,0,1
Her boyfriend was a romantic as Schopenhauer.,Her boyfriend was sincere and romantic.,Her boyfriend was cynical and not romantic.,1,1
The coach's behavior was as stable as Francium.,The coach's behavior was unsteady.,The coach's behavior was steady and stable.,0,1
The coach's behavior was as stable as a noble gas.,The coach's behavior was unsteady.,The coach's behavior was steady and stable.,1,1
His approach to the group was as gracious as the Dali Lama.,His approach was open-hearted and full of grace.,His approach was closed off and legalistic.,0,1
His approach to the group was as gracious as a religious cult leader.,His approach was open-hearted and full of grace.,His approach was closed off and legalistic.,1,1
The color of her future son's hair was a certain as The color of her husband's hair,She was fairly sure she knew what color her son's hair would be,She had no clue what color the son's hair would be,0,1
The color of her future son's hair was a certain as The color of the man's hair she had yet to meet to have the kid with,She was fairly sure she knew what color her son's hair would be,She had no clue what color the son's hair would be,1,1
The marker stain on her shirt was as permanent as The tattoo on her ankle,The mark was permanent,The mark could be wiped off,0,1
The marker stain on her shirt was as permanent as The scuff mark on her car door,The mark was permanent,The mark could be wiped off,1,1
The man bet as much on the game as He paid for his mortgage,The man was a heavy better,The man only dabbled in betting,0,1
The man bet as much on the game as He paid for his morning cup of coffee,The man was a heavy better,The man only dabbled in betting,1,1
This place is as permanent as the Earth itself,This place will last forever,This place will not last long,0,1
This place is as permanent as a sand castle,This place will last forever,This place will not last long,1,1
My head's as handsome as a Renaissance painting,My head's handsome,My head's ugly,0,1
My head's as handsome as a monster mask,My head's handsome,My head's ugly,1,1
That runner is a cheetah,That runner is fast,That runner is slow,0,1
That runner is a tortoise,That runner is fast,That runner is slow,1,1
That sweater is a puppy dog,That sweater is soft and cuddly.,That sweater is rough and itchy.,0,1
That sweater is a haystack,That sweater is soft and cuddly.,That sweater is rough and itchy.,1,1
the dinner was as tasty as mush,the dinner was tasteless,the dinner was delicious,0,1
the dinner was as tasty as mama's home cooking,the dinner was tasteless,the dinner was delicious,1,1
the babysitter was as mature as her charge,the sitter was not competent,the sitter was competent,0,1
the babysitter was as mature as Mary Poppins,the sitter was not competent,the sitter was competent,1,1
the tv star was as personable as a cardboard cutout,the tv star had no personality,the tv star was charming,0,1
the tv star was as personable as a long lost friend,the tv star had no personality,the tv star was charming,1,1
She's a kid's game.,She's manipulatable.,She's unmanipulable.,0,1
She's a round of Jeopardy.,She's manipulatable.,She's unmanipulable.,1,1
He is a pile of smashed pottery.,He's weak.,He's strong.,0,1
He is a pile of bricks.,He's weak.,He's strong.,1,1
The mansion is a rotting whale.,The mansion is dilapidated.,The mansion is well-maintained.,0,1
The mansion is a lion's den.,The mansion is dilapidated.,The mansion is well-maintained.,1,1
The door was closed as tight as a drumhead,The door was closed tighly,The door was not closed tightly,0,1
The door was closed as tight as a refrigerator without a door,The door was closed tighly,The door was not closed tightly,1,1
The plot had the structure of demolished building,The plot had no structure,The plot had great structure,0,1
The plot had the structure of a Manolo Blahnik dress pump,The plot had no structure,The plot had great structure,1,1
He had the morality of a pickpocket,He had no morality,He had strict morality,0,1
He had the morality of the Bishop of Canterbury,He had no morality,He had strict morality,1,1
The log was a humpback whale,the log was large,the log was small,0,1
The log was a betta fish,the log was large,the log was small,1,1
The nachos were a Fort Knox,the nachos were big and full,the nachos were small and measly,0,1
The nachos were an empty shack,the nachos were big and full,the nachos were small and measly,1,1
The star had the largeness of a galaxy,the star was big,the star was small,0,1
The star had the largeness of a pebble,the star was big,the star was small,1,1
He was smart like a teacher.,He was very smart.,He wasn't very smart at all.,0,1
He was smart like a dropout.,He was very smart.,He wasn't very smart at all.,1,1
He was as honest as a lawyer.,He wasn't very honest.,He was very honest.,0,1
He was as honest as a preacher.,He wasn't very honest.,He was very honest.,1,1
Her eyes were as dark as black olives,her eyes were deep and black,her eyes were light,0,1
Her eyes were as dark as a midday sky,her eyes were deep and black,her eyes were light,1,1
The dog was as shaggy as Howard Stern's hair,The dog was hairy and unkempt,the dog was trimmed and neat,0,1
The dog was as shaggy as a buzz cut,The dog was hairy and unkempt,the dog was trimmed and neat,1,1
His nails were as sharp as needles,his nails are sharp and pointed,his nails are smooth and rounded,0,1
His nails were as sharp as a spoon,his nails are sharp and pointed,his nails are smooth and rounded,1,1
He has the morals of a saint,He has strong morals,He has no morals,0,1
He has the morals of a devil,He has strong morals,He has no morals,1,1
The structure was as sturdy as a house of cards,The structure was flimsy,The structure was solid,0,1
The structure was as sturdy as a mountain,The structure was flimsy,The structure was solid,1,1
He runs at the pace of A cheetah,He is a very fast runner,He runs very slowly,0,1
He runs at the pace of A snail,He is a very fast runner,He runs very slowly,1,1
Our relationship is as tight as a wetsuit,Our relationship is solid,Our relationship is questionable,0,1
Our relationship is as tight as a drug dealers morals,Our relationship is solid,Our relationship is questionable,1,1
We stopped at the light as gracefully as a lame turkey,We stopped roughly,We stopped smoothly,0,1
We stopped at the light as gracefully as O.J.s lawyer,We stopped roughly,We stopped smoothly,1,1
That's as safe as tying yourself to a raging bull,It's not safe at all,It's very low risk,0,1
That's as safe as saving your money,It's not safe at all,It's very low risk,1,1
That's as intimidating as a month old hamster,It's not scary at all,It's very scary.,0,1
That's as intimidating as a hostile bear,It's not scary at all,It's very scary.,1,1
They're as isolated as a game of hide and seek,They're completely divided,They're all together.,0,1
They're as isolated as the Superbowl stands,They're completely divided,They're all together.,1,1
This class subject matter is as exciting as a field trip to an abandoned graveyard.,This class subject matter is not exciting.,This class subject matter is very exciting.,0,1
This class subject matter is as exciting as just discovering you were actually born with genie powers.,This class subject matter is not exciting.,This class subject matter is very exciting.,1,1
This exotic dancer has the grace of a crippled lumberjack.,This exotic dancer has no grace.,This exotic dancer has a lot of grace.,0,1
This exotic dancer has the grace of an exquisitely-trained ballerina.,This exotic dancer has no grace.,This exotic dancer has a lot of grace.,1,1
The librarian had the charm of a sex-starved tarantula.,The librarian had no charm.,The librarian had charming qualities.,0,1
The librarian had the charm of your most understanding confidante.,The librarian had no charm.,The librarian had charming qualities.,1,1
They were as close as Trump and Biden,They were not close,They were close,0,1
They were as close as an apple and its stem,They were not close,They were close,1,1
Their house looked like the town dump,Their house looked bad,Their house looked good,0,1
Their house looked like Buckingham Palace,Their house looked bad,Their house looked good,1,1
She was as unique as a grain of sand,She was not unique,She was unique,0,1
She was as unique as each snowflake,She was not unique,She was unique,1,1
The couple's relationship was a boat on a stormy sea,The couple argued a lot,The couple argued infrequently,0,1
The couple's relationship was a boat on a placid sea,The couple argued a lot,The couple argued infrequently,1,1
The spices in the sauce were a gentle harmony,The sauce was well flavored.,The sauce tasted bad.,0,1
The spices in the sauce were a cacophony,The sauce was well flavored.,The sauce tasted bad.,1,1
The mattress was like a bag of sticks,The mattress was uncomfortable,The mattress was soft,0,1
The mattress was like a marshmallow,The mattress was uncomfortable,The mattress was soft,1,1
My last relationship Lasted an eternity,Was too long,Was too short,0,1
My last relationship Was 5 minutes long.,Was too long,Was too short,1,1
My life has been Like fresh cookies out the oven,My life is amazing,My life is terrible,0,1
My life has been Like burnt pie,My life is amazing,My life is terrible,1,1
The flashlight has the brightness of a bunch of suns all crowded together for a bonfire,The flashlight is extremely bright,The flashlight doesn't even shine enough light,0,1
The flashlight has the brightness of a dark room that scares dracula himself,The flashlight is extremely bright,The flashlight doesn't even shine enough light,1,1
The wife has a usefulness of a genie granting every wish one asks,The wife is very helpful and dutiful,The wife can't even do much for the husband,0,1
The wife has a usefulness of a tranquilized giraffe,The wife is very helpful and dutiful,The wife can't even do much for the husband,1,1
The painting  has the creativity of Rembrandt and Picasso getting their paintings married,The painting is really amazing and well done,The painting is poorly done,0,1
The painting  has the creativity of a skunk peeing,The painting is really amazing and well done,The painting is poorly done,1,1
Some individuals are like wild Pitbulls,Some people are really mean,Some people are really nice,0,1
Some individuals are like the sweet grandma type,Some people are really mean,Some people are really nice,1,1
This relationship is like poison and water,This is a bad relationship that is toxic and does not pair well,This is a good relationship that goes well together,0,1
This relationship is like peanuts and M&M's,This is a bad relationship that is toxic and does not pair well,This is a good relationship that goes well together,1,1
Believing in aliens is like believing in Santa Claus,Believing in aliens is like believing in something fake,Believing in aliens is like believing in something very real,0,1
Believing in aliens is like believing in math and science,Believing in aliens is like believing in something fake,Believing in aliens is like believing in something very real,1,1
The seed was as small as a pin,it was tiny,it was huge,0,1
The seed was as small as a hippo,it was tiny,it was huge,1,1
The plant was as long as the O.J. trial,it was long,it was short,0,1
The plant was as long as a pinky nail,it was long,it was short,1,1
The piano was as beautiful as a sunset in May,it was pretty,it was ugly,0,1
The piano was as beautiful as an anthill that had been kicked,it was pretty,it was ugly,1,1
You're as hairy as a bear,You're hairy,You're not hairy,0,1
You're as hairy as a bald eagle,You're hairy,You're not hairy,1,1
This operation is as transparent as glass,This operation is transparent,This operation is obscured and not transparent.,0,1
This operation is as transparent as tinted glass,This operation is transparent,This operation is obscured and not transparent.,1,1
This stuff's as nutritious as medicine,This stuff's nutritious,This stuff's bad for you,0,1
This stuff's as nutritious as poison,This stuff's nutritious,This stuff's bad for you,1,1
If she was any more transparent she would be a concrete slab,She is not transparent at all,She is very transparent,0,1
If she was any more transparent she would be a window,She is not transparent at all,She is very transparent,1,1
His bones have the strength of a titanium rod,His bones are strong and durable,His bones are weak and easy to break,0,1
His bones have the strength of a chopsticks,His bones are strong and durable,His bones are weak and easy to break,1,1
The construction workers move at the pace of bees,The workers move quickly,The workers are very slow,0,1
The construction workers move at the pace of a sloth,The workers move quickly,The workers are very slow,1,1
The cat is as soft as A fifty-thousand dollar mink coat.,The cat is extremely soft.,The cat is not soft at all.,0,1
The cat is as soft as A prickly pear cactus.,The cat is extremely soft.,The cat is not soft at all.,1,1
The boy is as obedient as A rabid wolverine.,The boy is very disobedient.,The boy is incredibly obedient.,0,1
The boy is as obedient as A loyal robot.,The boy is very disobedient.,The boy is incredibly obedient.,1,1
